precision,recall,threshold
0.05835240274599542,1.0,9.036446244212224e-06
0.058486238532110095,1.0,9.063589204091935e-06
0.05855338691159587,1.0,9.066877936933546e-06
0.05862068965517241,1.0,9.07165520943706e-06
0.05868814729574223,1.0,9.100570471325626e-06
0.05889145496535797,1.0,9.11957064141511e-06
0.058959537572254334,1.0,9.121899939655198e-06
0.059027777777777776,1.0,9.131766482133696e-06
0.05909617612977984,1.0,9.20584872736445e-06
0.05916473317865429,1.0,9.207924800603698e-06
0.059371362048894066,1.0,9.215240045688527e-06
0.05944055944055944,1.0,9.254351997538466e-06
0.059509918319719954,1.0,9.311308276013828e-06
0.05964912280701754,1.0,9.345723555528915e-06
0.05992949471210341,1.0,9.492667931739584e-06
0.06,1.0,9.547007462090736e-06
0.06007067137809187,1.0,9.551820511918872e-06
0.060141509433962265,1.0,9.568899149295928e-06
0.0602125147579693,1.0,9.575132052835071e-06
0.06028368794326241,1.0,9.57664313883212e-06
0.06035502958579882,1.0,9.578229812739153e-06
0.06042654028436019,1.0,9.58786641349472e-06
0.060498220640569395,1.0,9.592673192657415e-06
0.060570071258907364,1.0,9.605688064115479e-06
0.06064209274673008,1.0,9.622841710283783e-06
0.060714285714285714,1.0,9.640395594594737e-06
0.060859188544152745,1.0,9.641817437978509e-06
0.06093189964157706,1.0,9.719636229981405e-06
0.061004784688995214,1.0,9.74158715753666e-06
0.06107784431137724,1.0,9.755763178525229e-06
0.06115107913669065,1.0,9.834027622931994e-06
0.061224489795918366,1.0,9.856011361905806e-06
0.06129807692307692,1.0,9.908788894972913e-06
0.061371841155234655,1.0,9.947541857885657e-06
0.06144578313253012,1.0,9.984481513901874e-06
0.061519903498190594,1.0,1.0034358989242512e-05
0.06159420289855073,1.0,1.0050695939405558e-05
0.06166868198307134,1.0,1.0104762871026622e-05
0.06174334140435835,1.0,1.0142291796523268e-05
0.06181818181818182,1.0,1.01880494686911e-05
0.061893203883495146,1.0,1.0209352640716817e-05
